COD_ZNJE,COD_ZENT,COD_ZDES_SELLIN,COD_ZDEM,COD_ZDES_SELLOUT,GERENCIA,COD_SKU,INICIATIVA,REGIÓN,PAÍS,NODO,RESPONSABLE DE PAGO,GRUPO CLIENTE SI,GRUPO CLIENTE SO,DESTINATARIO,COD_ZTER,TERRITORIO,ORG VTA,CLIENTE,Homologo,SKU + Descripción/Material,Descripción/Material,CATEGORÍA,MATERIAL,DESCRIPCIÓN ABREVIADA,ETAPA,FAMILIA,LÍNEA,PROTEÍNA,FORMATO,PROCESO,PLANTA,TIPO PRODUCTO,ESTADO SKU,TOTAL,DATO,COD_DATO,Atributo,MES,Valor
2102247,1000026951,1000027704,NA,542899,Gerencia Aliados y Directo B&B+,7530442,NA,RA,ECUADOR,D. EDKARD,BALAN&CAM Y CÍA.,OTROS BALAN&CAM,Otros Edkard_CSO,,1168010,SANCHEZ JIMENEZ WENDY JANNETH,2042,D. EDKARD,7530442,7530442 - QUA E+ 35% 2.0 PEL,QUA E+ 35% 2.0 PEL,Alimento Camarones,Nicovita Qualis Camaron E+ 35% 2.0,QUA E+ 35% 2.0 PEL,ENGORDE,QUA,REG,0.35,2,PELETIZADO,INB,PORTAFOLIO,ACTIVO,876.26,PB2025,PB+0,NOV,202511,73.92
2102247,1000026951,1000027704,NA,542899,Gerencia Aliados y Directo B&B+,7530442,NA,RA,ECUADOR,D. EDKARD,BALAN&CAM Y CÍA.,OTROS BALAN&CAM,Otros Edkard_CSO,,1168010,SANCHEZ JIMENEZ WENDY JANNETH,2042,D. EDKARD,7530442,7530442 - QUA E+ 35% 2.0 PEL,QUA E+ 35% 2.0 PEL,Alimento Camarones,Nicovita Qualis Camaron E+ 35% 2.0,QUA E+ 35% 2.0 PEL,ENGORDE,QUA,REG,0.35,2,PELETIZADO,INB,PORTAFOLIO,ACTIVO,876.26,PB2025,PB+0,DIC,202512,77.77
2102247,1000026951,1000027704,NA,542899,Gerencia Aliados y Directo B&B+,7530773,NA,RA,ECUADOR,D. EDKARD,BALAN&CAM Y CÍA.,OTROS BALAN&CAM,Otros Edkard_CSO,,1168010,SANCHEZ JIMENEZ WENDY JANNETH,2042,D. EDKARD,7530773,7530773 - QUA E+ 28% 2.0 PEL,QUA E+ 28% 2.0 PEL,Alimento Camarones,Nicovita Qualis Camaron E+ 28% 2.0,QUA E+ 28% 2.0 PEL,ENGORDE,QUA,E+,0.28,2,PELETIZADO,INB,PORTAFOLIO,ACTIVO,569,PB2025,PB+0,ENE,202501,36.5
2102247,1000026951,1000027704,NA,542899,Gerencia Aliados y Directo B&B+,7530773,NA,RA,ECUADOR,D. EDKARD,BALAN&CAM Y CÍA.,OTROS BALAN&CAM,Otros Edkard_CSO,,1168010,SANCHEZ JIMENEZ WENDY JANNETH,2042,D. EDKARD,7530773,7530773 - QUA E+ 28% 2.0 PEL,QUA E+ 28% 2.0 PEL,Alimento Camarones,Nicovita Qualis Camaron E+ 28% 2.0,QUA E+ 28% 2.0 PEL,ENGORDE,QUA,E+,0.28,2,PELETIZADO,INB,PORTAFOLIO,ACTIVO,569,PB2025,PB+0,FEB,202502,47.5
2102247,1000026951,1000027704,NA,542899,Gerencia Aliados y Directo B&B+,7530773,NA,RA,ECUADOR,D. EDKARD,BALAN&CAM Y CÍA.,OTROS BALAN&CAM,Otros Edkard_CSO,,1168010,SANCHEZ JIMENEZ WENDY JANNETH,2042,D. EDKARD,7530773,7530773 - QUA E+ 28% 2.0 PEL,QUA E+ 28% 2.0 PEL,Alimento Camarones,Nicovita Qualis Camaron E+ 28% 2.0,QUA E+ 28% 2.0 PEL,ENGORDE,QUA,E+,0.28,2,PELETIZADO,INB,PORTAFOLIO,ACTIVO,569,PB2025,PB+0,MAR,202503,49
2102247,1000026951,1000027704,NA,542899,Gerencia Aliados y Directo B&B+,7530773,NA,RA,ECUADOR,D. EDKARD,BALAN&CAM Y CÍA.,OTROS BALAN&CAM,Otros Edkard_CSO,,1168010,SANCHEZ JIMENEZ WENDY JANNETH,2042,D. EDKARD,7530773,7530773 - QUA E+ 28% 2.0 PEL,QUA E+ 28% 2.0 PEL,Alimento Camarones,Nicovita Qualis Camaron E+ 28% 2.0,QUA E+ 28% 2.0 PEL,ENGORDE,QUA,E+,0.28,2,PELETIZADO,INB,PORTAFOLIO,ACTIVO,569,PB2025,PB+0,ABR,202504,48
2102247,1000026951,1000027704,NA,542899,Gerencia Aliados y Directo B&B+,7530773,NA,RA,ECUADOR,D. EDKARD,BALAN&CAM Y CÍA.,OTROS BALAN&CAM,Otros Edkard_CSO,,1168010,SANCHEZ JIMENEZ WENDY JANNETH,2042,D. EDKARD,7530773,7530773 - QUA E+ 28% 2.0 PEL,QUA E+ 28% 2.0 PEL,Alimento Camarones,Nicovita Qualis Camaron E+ 28% 2.0,QUA E+ 28% 2.0 PEL,ENGORDE,QUA,E+,0.28,2,PELETIZADO,INB,PORTAFOLIO,ACTIVO,569,PB2025,PB+0,MAY,202505,48
2102247,1000026951,1000027704,NA,542899,Gerencia Aliados y Directo B&B+,7530773,NA,RA,ECUADOR,D. EDKARD,BALAN&CAM Y CÍA.,OTROS BALAN&CAM,Otros Edkard_CSO,,1168010,SANCHEZ JIMENEZ WENDY JANNETH,2042,D. EDKARD,7530773,7530773 - QUA E+ 28% 2.0 PEL,QUA E+ 28% 2.0 PEL,Alimento Camarones,Nicovita Qualis Camaron E+ 28% 2.0,QUA E+ 28% 2.0 PEL,ENGORDE,QUA,E+,0.28,2,PELETIZADO,INB,PORTAFOLIO,ACTIVO,569,PB2025,PB+0,JUN,202506,49
2102247,1000026951,1000027704,NA,542899,Gerencia Aliados y Directo B&B+,7530773,NA,RA,ECUADOR,D. EDKARD,BALAN&CAM Y CÍA.,OTROS BALAN&CAM,Otros Edkard_CSO,,1168010,SANCHEZ JIMENEZ WENDY JANNETH,2042,D. EDKARD,7530773,7530773 - QUA E+ 28% 2.0 PEL,QUA E+ 28% 2.0 PEL,Alimento Camarones,Nicovita Qualis Camaron E+ 28% 2.0,QUA E+ 28% 2.0 PEL,ENGORDE,QUA,E+,0.28,2,PELETIZADO,INB,PORTAFOLIO,ACTIVO,569,PB2025,PB+0,JUL,202507,47.5
2102247,1000026951,1000027704,NA,542899,Gerencia Aliados y Directo B&B+,7530773,NA,RA,ECUADOR,D. EDKARD,BALAN&CAM Y CÍA.,OTROS BALAN&CAM,Otros Edkard_CSO,,1168010,SANCHEZ JIMENEZ WENDY JANNETH,2042,D. EDKARD,7530773,7530773 - QUA E+ 28% 2.0 PEL,QUA E+ 28% 2.0 PEL,Alimento Camarones,Nicovita Qualis Camaron E+ 28% 2.0,QUA E+ 28% 2.0 PEL,ENGORDE,QUA,E+,0.28,2,PELETIZADO,INB,PORTAFOLIO,ACTIVO,569,PB2025,PB+0,AGO,202508,47.5
