Entidad	ID Activo	Proyecto	Categoría	Dpto	U operativa	Moneda	F.Transacción	Año	Per inic	Per fin	Importe
NMP01	000000048008	SUCS_NB	EDIFC	_	13000	MXN	01/01/2008	2024	1	12	1643.95
NMP01	000000048009	SUCS_NB	EDIFC	_	13000	MXN	01/01/2008	2024	1	12	742.45
NMP01	000000048235	SUCS_NB	EDIFC	_	13009	MXN	01/03/2008	2024	1	12	34078.53
NMP01	000000048236	SUCS_NB	EDIFC	_	13009	MXN	01/03/2008	2024	1	12	17634.9
NMP01	000000048508	SUCS_NB	EDIFC	_	13000	MXN	01/05/2008	2024	1	12	2548.15
NMP01	000000048509	SUCS_NB	EDIFC	_	13027	MXN	01/05/2008	2024	1	12	11027.94
NMP01	000000048637	SUCS_NB	EDIFC	_	13000	MXN	01/06/2008	2024	1	12	9695.35
NMP01	000000048695	CORP	EDIFC	25301	ADMON	MXN	01/11/2014	2024	1	12	1455.94
NMP01	000000048697	SUCS_NB	EDIFC	_	13000	MXN	01/06/2008	2024	1	12	7240.78
NMP01	000000048993	SUCS_NB	EDIFC	_	13000	MXN	01/07/2008	2024	1	12	13676.2
NMP01	000000049143	SUCS_NB	EDIFC	_	13000	MXN	01/09/2008	2024	1	12	7054.27
NMP01	000000049144	SUCS_NB	EDIFC	_	13000	MXN	01/09/2008	2024	1	12	14134.17
NMP01	000000049610	CORP	EDIFC	15000	ADMON	MXN	01/11/2008	2024	1	12	59440.64
NMP01	000000049667	SUCS_NB	EDIFC	_	13013	MXN	01/12/2008	2024	1	12	4705
NMP01	000000050745	CORP	EDIFC	15200	ADMON	MXN	01/01/2009	2024	1	12	4861.45
NMP01	000000050779	SUCS_NB	EDIFC	_	13000	MXN	01/02/2009	2024	1	12	4307.14
NMP01	000000050800	SUCS_NB	EDIFC	_	13000	MXN	01/03/2009	2024	1	12	39911.93
NMP01	000000050803	SUCS_NB	EDIFC	_	13000	MXN	01/03/2009	2024	1	12	9323.51
NMP01	000000050804	SUCS_NB	EDIFC	_	13000	MXN	01/03/2009	2024	1	12	11511.41
NMP01	000000050948	CORP	EDIFC	25702	ADMON	MXN	01/03/2023	2024	1	12	-201.94
NMP01	000000050949	SUCS_NB	EDIFC	_	13000	MXN	01/10/2009	2024	1	12	6616.14
NMP01	000000050950	SUCS_NB	EDIFC	_	13000	MXN	01/10/2009	2024	1	12	5696.27
NMP01	000000052916	CORP	EDIFC	17200	ADMON	MXN	01/01/2010	2024	1	12	144.95
NMP01	000000052917	CORP	EDIFC	17200	ADMON	MXN	01/01/2010	2024	1	12	144.95
NMP01	000000053144	SUCS_NB	EDIFC	_	13000	MXN	01/01/2010	2024	1	12	7856.2
NMP01	000000053145	CORP	EDIFC	17000	ADMON	MXN	01/03/2018	2024	1	12	4609.3
NMP01	000000053146	SUCS_NB	EDIFC	_	13000	MXN	01/01/2010	2024	1	12	3240.55
NMP01	000000053147	SUCS_NB	EDIFC	_	13000	MXN	01/01/2010	2024	1	12	5547.61
NMP01	000000053148	SUCS_NB	EDIFC	_	13027	MXN	01/01/2010	2024	1	12	18174.62
